label,contrast_0,contrast_45,contrast_90,contrast_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135
cataract,23.90768995098041,35.74778931180313,15.50487132352939,28.053733179546334,0.7313444904290362,0.7085256086949534,0.7798625389566878,0.7118418733413091,0.5018502153371601,0.4989985359748588,0.5034952678525324,0.49887255976691575,8.310361459399267,8.283427547833519,8.343296009623899,8.313607723068253
cataract,18.83857230392153,26.811441753171845,15.301317401960747,27.0299115724721,0.7296706297502318,0.7085288915418837,0.7713554971486875,0.7057308853703891,0.5028793668491304,0.5000094732725415,0.50451820811951,0.4999034033836605,8.4540489429577,8.442571372476904,8.467933415716686,8.441713155420121
cataract,24.778308823529425,33.99793925413304,15.694975490196102,30.519523260284505,0.7977417385024,0.7712201614090379,0.8498411341691082,0.787528491761997,0.5122136123813049,0.5093256131712599,0.514014638815601,0.5093235043295673,8.158823418387003,8.141762427657525,8.194593189335208,8.155470876210817
cataract,22.699417892156912,30.923552479815484,12.784742647058792,29.753602460591996,0.7696116047339085,0.7557854874445408,0.8216042539548503,0.7446243267138257,0.5109341688742852,0.5081936395530866,0.5125724388795087,0.5080206614098427,8.145976444392614,8.133114182128386,8.184951477440361,8.137716828474584
cataract,14.820465686274517,16.670972702806605,8.379932598039215,20.55790849673201,0.7850020030371025,0.7543488201170758,0.8329500297638952,0.7691207628288081,0.4549558531515539,0.4529085806373945,0.45875056987517604,0.45310677386350934,9.811793473008555,9.828840049782702,9.839771917906255,9.814103518796827
cataract,29.002879901960817,35.7783160322952,13.743612132352943,33.036232218377556,0.7364888084238609,0.7142273197470361,0.7923013099028751,0.7165098847053533,0.4906239792114822,0.4884493198924743,0.49298089941020523,0.48836282942450215,8.775769423544224,8.764188738302344,8.829511755599889,8.774814044711597
cataract,27.368167892156837,33.35597078046904,12.850888480392149,33.64509034986552,0.7390608940061504,0.7141604560770769,0.8042379382474869,0.7252617818775854,0.48039187623283314,0.4784047016736744,0.482732438855559,0.47802884665773215,8.936073919582821,8.933616097319671,8.992384217257959,8.932500892907456
cataract,16.827022058823587,18.800153787004984,9.131893382352951,24.3124336793541,0.7344001424491118,0.7190173719073245,0.7830525390464218,0.7089680690554059,0.502177270085478,0.49939249645815037,0.5037494458891723,0.4992706969245644,8.340377124392711,8.352256269675589,8.37052554567239,8.330643084641395
cataract,11.003063725490206,16.167412533640924,7.554840686274517,15.29759323337176,0.735473039147662,0.707802727597925,0.7709616090354241,0.7104270012647591,0.5017183714236567,0.4988829874742555,0.5032878873800253,0.498770770439096,8.398087004268703,8.39758337971087,8.411600172193506,8.400994760647032
cataract,2.3827205882352946,3.037108804306034,1.4680147058823556,2.964859669357939,0.842056948651587,0.8148296341785506,0.8718729209241523,0.8076354037276654,0.513249325370696,0.5102428761407927,0.5150101815065256,0.510121259012748,8.371754444604425,8.389043658614868,8.375357712020671,8.389328487631992
cataract,16.05778186274513,18.874248366013084,6.52034313725493,19.985943867743163,0.7189026077657688,0.6967246579276145,0.7605627569557639,0.6973537142391008,0.5107216469141235,0.5079449263321713,0.5122360943813914,0.5078872569803377,8.12224589101173,8.130466848584703,8.159733398768397,8.126093916771318
cataract,15.749509803921526,27.397954632833482,10.200827205882353,14.892179930795884,0.8743016447729187,0.842419841599586,0.8944137171672235,0.8561934191645053,0.5129900644511137,0.5099177439517696,0.5145574697309783,0.5100514003577031,8.343728433131423,8.317905149122941,8.365571021384499,8.367172585096759
cataract,10.863909313725507,16.792249134948136,8.12717524509806,14.651472510572882,0.8071225412995736,0.7852089612001293,0.85329979648543,0.7839102719929925,0.5110176856019859,0.5082090387105248,0.5125883782869249,0.5081328391599509,8.141686599871765,8.13775425042566,8.152439379943342,8.146171898921512
cataract,8.627573529411778,10.000246059208,2.7756433823529503,10.124290657439458,0.7830843334406061,0.7556051687246832,0.8190207714158165,0.7497902147328022,0.5108932277354217,0.5080435514270364,0.512370294596916,0.5079652124548404,8.15134971663775,8.165310407764654,8.174346200351398,8.164822574092096
cataract,24.995067401960817,33.56296808919645,15.170526960784326,32.70625144175315,0.7889569334662148,0.7715923886912723,0.8506333874024049,0.7780862593313416,0.4999602302947072,0.4971308521360019,0.5015220716416436,0.49707122267135895,8.189055619197767,8.174845276293016,8.227482959046997,8.178198794868925
cataract,24.055545343137236,31.486797385620882,15.090732230392103,33.190419069588664,0.8161272964561197,0.8084308664297293,0.857205904994591,0.7776454044067209,0.5011941607042938,0.49842174674092776,0.5027570637914984,0.4981865306113076,8.22830025234195,8.218716231025432,8.263366565808337,8.212047750027232
cataract,22.75177696078439,30.737993079584765,13.909129901960744,31.896808919646332,0.7787860798502276,0.7648671142842737,0.829781703499467,0.7460204017024503,0.5012731408242457,0.4985263949564891,0.5028021195434951,0.4983997610584361,8.17926034651145,8.167365816469491,8.213827502539383,8.162832353663658
